Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Mike Yastrzemski,2021,SFG,532,9.6%,24.6%,0.233,106,14854
Miguel Sano,2021,MIN,532,11.1%,34.4%,0.243,110,12164
Austin Hays,2021,BAL,529,5.3%,20.2%,0.205,106,19363
Kyle Farmer,2021,CIN,529,4.2%,18.3%,0.153,91,14813
Michael A. Taylor,2021,KCR,528,6.3%,27.3%,0.112,77,11489
Trent Grisham,2021,SDP,527,10.2%,22.6%,0.171,103,18564
Starling Marte,2021,- - -,526,8.2%,18.8%,0.148,133,9241
Miguel Cabrera,2021,DET,526,7.6%,22.4%,0.129,92,1744
Francisco Lindor,2021,NYM,524,11.1%,18.3%,0.181,103,12916
Gleyber Torres,2021,NYY,516,9.7%,20.2%,0.107,94,16997
Avisail Garcia,2021,MIL,515,7.4%,23.5%,0.228,115,5760
Jed Lowrie,2021,OAK,512,9.6%,21.1%,0.153,100,4418
Nick Solak,2021,TEX,511,6.7%,20.9%,0.120,89,19294
Jose Iglesias,2021,- - -,511,4.1%,14.7%,0.120,91,10231
Jesus Aguilar,2021,MIA,510,9.0%,18.2%,0.198,112,11342
Michael Brantley,2021,HOU,508,6.5%,10.4%,0.126,123,4106
Jazz Chisholm Jr.,2021,MIA,507,6.7%,28.6%,0.177,98,20454
Jonathan Villar,2021,NYM,505,9.1%,26.1%,0.167,105,10071
Will Smith,2021,LAD,501,11.6%,20.2%,0.237,130,19197
Joey Wendle,2021,TBR,501,5.6%,22.6%,0.157,106,13853
Wil Myers,2021,SDP,500,10.8%,28.2%,0.179,109,10047
Christian Vazquez,2021,BOS,498,6.6%,16.9%,0.094,77,9774
Garrett Hampson,2021,COL,494,6.7%,23.9%,0.146,65,19262
Dominic Smith,2021,NYM,493,6.5%,22.7%,0.119,86,15653
Kolten Wong,2021,MIL,492,6.3%,16.9%,0.175,109,12532
Odubel Herrera,2021,PHI,492,5.9%,15.7%,0.156,93,11476
Max Kepler,2021,MIN,490,11.0%,19.6%,0.202,95,12144
Jesse Winker,2021,CIN,485,10.9%,15.5%,0.251,148,13590
Willson Contreras,2021,CHC,483,10.8%,28.6%,0.201,109,11609
Joc Pederson,2021,- - -,481,8.1%,24.3%,0.184,94,11899
Luis Arraez,2021,MIN,479,9.0%,10.0%,0.082,103,18568
Michael Conforto,2021,NYM,479,12.3%,21.7%,0.153,106,16376
Christian Yelich,2021,MIL,475,14.7%,23.8%,0.125,101,11477
Leury Garcia,2021,CHW,474,8.6%,20.5%,0.108,98,5913
Yadier Molina,2021,STL,473,5.1%,16.7%,0.118,83,7007
Nick Ahmed,2021,ARI,473,7.2%,22.0%,0.118,64,12147
Kyle Schwarber,2021,- - -,471,13.6%,27.0%,0.288,145,16478
Andrew Vaughn,2021,CHW,469,8.7%,21.5%,0.161,94,26197
Franmil Reyes,2021,CLE,466,9.2%,32.0%,0.268,125,14566
Manuel Margot,2021,TBR,464,8.0%,15.1%,0.128,95,14712
Akil Baddoo,2021,DET,461,9.8%,26.5%,0.177,108,22168
Brett Gardner,2021,NYY,461,13.0%,21.7%,0.140,93,9927
Buster Posey,2021,SFG,454,12.3%,19.2%,0.195,140,9166
Tyler Naquin,2021,CIN,454,7.7%,23.3%,0.207,110,13359
Bobby Dalbec,2021,BOS,453,6.2%,34.4%,0.254,107,19966
Andrelton Simmons,2021,MIN,451,7.1%,13.7%,0.051,56,10847
Willi Castro,2021,DET,450,5.1%,24.2%,0.131,69,17338
Sean Murphy,2021,OAK,448,8.9%,25.4%,0.188,99,19352
Omar Narvaez,2021,MIL,445,9.2%,18.9%,0.136,99,13338
Christian Walker,2021,ARI,445,8.5%,23.8%,0.137,87,13419
Rhys Hoskins,2021,PHI,443,10.6%,24.4%,0.283,127,16472
Gio Urshela,2021,NYY,442,4.5%,24.7%,0.152,96,10681
Gary Sanchez,2021,NYY,440,11.8%,27.5%,0.219,99,11442
Anthony Santander,2021,BAL,438,5.3%,23.1%,0.192,92,14551
Wilmer Flores,2021,SFG,436,9.4%,12.8%,0.185,113,5827
Jackie Bradley Jr.,2021,MIL,428,6.5%,30.8%,0.098,35,12984
Jacob Stallings,2021,PIT,427,11.5%,19.9%,0.123,95,13723
Jeff McNeil,2021,NYM,426,6.8%,13.6%,0.109,91,15362
Martin Maldonado,2021,HOU,426,11.0%,29.8%,0.129,63,6887
A.J. Pollock,2021,LAD,422,7.1%,19.0%,0.240,137,9256
Pedro Severino,2021,BAL,419,8.1%,26.0%,0.135,87,14523
Alec Bohm,2021,PHI,417,7.4%,26.6%,0.095,75,21618
Brendan Rodgers,2021,COL,415,4.6%,20.2%,0.186,100,17907
Eddie Rosario,2021,- - -,412,6.3%,14.8%,0.177,98,12155
James McCann,2021,NYM,412,7.8%,27.9%,0.117,80,12859
Jurickson Profar,2021,SDP,412,11.9%,15.8%,0.093,85,10815
Corey Seager,2021,LAD,409,11.7%,16.1%,0.215,147,13624
Didi Gregorius,2021,PHI,408,6.1%,16.4%,0.160,68,6012
Maikel Franco,2021,BAL,403,5.0%,16.6%,0.146,62,12179
Tyler Stephenson,2021,CIN,402,10.2%,18.7%,0.146,111,17988
Paul DeJong,2021,STL,402,8.7%,25.6%,0.194,86,18015
Harrison Bader,2021,STL,401,6.7%,21.2%,0.193,110,18030
Alex Bregman,2021,HOU,400,11.0%,13.3%,0.152,115,17678
Ben Gamel,2021,- - -,400,12.8%,26.3%,0.141,101,12160
Tony Kemp,2021,OAK,397,13.1%,12.8%,0.139,127,14894
Ke'Bryan Hayes,2021,PIT,396,7.8%,22.0%,0.116,88,18577
Freddy Galvis,2021,- - -,394,6.9%,19.5%,0.166,90,6609
Kevin Kiermaier,2021,TBR,390,8.5%,25.4%,0.129,101,11038
Tucker Barnhart,2021,CIN,388,7.5%,25.8%,0.121,81,10200
Brandon Nimmo,2021,NYM,386,14.0%,20.5%,0.145,137,12927
Gregory Polanco,2021,PIT,382,9.4%,27.2%,0.146,71,12907
Brandon Belt,2021,SFG,381,12.6%,27.0%,0.323,158,10264
LaMonte Wade Jr.,2021,SFG,381,8.7%,23.4%,0.229,117,18126
Eric Haase,2021,DET,381,6.8%,31.2%,0.228,100,14111
Gavin Lux,2021,LAD,381,10.8%,21.8%,0.122,91,19955
Ramon Laureano,2021,OAK,378,7.1%,25.9%,0.196,111,17128
Luis Torrens,2021,SEA,378,7.4%,26.2%,0.188,101,15905
Brad Miller,2021,PHI,377,11.9%,29.7%,0.227,105,12775
Dylan Moore,2021,SEA,377,10.6%,29.4%,0.154,74,18042
Jarred Kelenic,2021,SEA,377,9.5%,28.1%,0.169,73,22558
Mike Zunino,2021,TBR,375,9.1%,35.2%,0.342,134,13265
Yasmani Grandal,2021,CHW,375,23.2%,21.9%,0.280,159,11368
Patrick Wisdom,2021,CHC,375,8.5%,40.8%,0.287,115,13602
Yan Gomes,2021,- - -,375,5.1%,20.8%,0.169,93,9627
Abraham Toro,2021,- - -,375,8.3%,14.4%,0.134,95,19844
Ketel Marte,2021,ARI,374,8.3%,16.0%,0.215,139,13613
Phil Gosselin,2021,LAA,373,6.4%,21.7%,0.101,87,10953
Elias Diaz,2021,COL,371,8.1%,16.2%,0.219,92,11680
Victor Robles,2021,WSN,369,8.9%,23.0%,0.092,67,18363
Corey Dickerson,2021,- - -,365,6.8%,18.6%,0.137,100,10762
Justin Upton,2021,LAA,362,10.8%,29.6%,0.198,92,5222
Rougned Odor,2021,NYY,361,7.5%,27.7%,0.177,83,12282
Harold Ramirez,2021,CLE,361,3.9%,15.5%,0.130,90,14387
Ronald Acuna Jr.,2021,ATL,360,13.6%,23.6%,0.313,157,18401
Carson Kelly,2021,ARI,359,12.3%,20.6%,0.171,103,13620
Colin Moran,2021,PIT,359,10.0%,24.2%,0.132,98,16909
Victor Caratini,2021,SDP,356,9.8%,23.0%,0.096,72,14968
Jason Heyward,2021,CHC,353,7.6%,19.3%,0.133,68,4940
Asdrubal Cabrera,2021,- - -,352,10.2%,22.7%,0.136,82,4962
Cody Bellinger,2021,LAD,350,8.9%,26.9%,0.137,48,15998
Alcides Escobar,2021,WSN,349,4.9%,16.0%,0.116,100,6310
Bradley Zimmer,2021,CLE,348,8.6%,35.1%,0.117,89,16221
Kevin Pillar,2021,NYM,347,3.2%,23.3%,0.185,90,12434
Guillermo Heredia,2021,ATL,347,9.2%,23.3%,0.134,79,18721
Starlin Castro,2021,WSN,346,7.5%,17.9%,0.092,90,4579
Donovan Solano,2021,SFG,344,7.3%,16.9%,0.124,105,8623
Ronald Torreyes,2021,PHI,344,5.5%,11.9%,0.104,68,11400
George Springer,2021,TOR,342,10.8%,23.1%,0.291,140,12856
Harold Castro,2021,DET,339,4.1%,21.2%,0.076,83,14691
