Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Willson Contreras,2021,CHC,483,0.108,0.286,0.201,109,11609
Joc Pederson,2021,- - -,481,0.081,0.243,0.184,94,11899
Luis Arraez,2021,MIN,479,0.090,0.100,0.082,103,18568
Michael Conforto,2021,NYM,479,0.123,0.217,0.153,106,16376
Christian Yelich,2021,MIL,475,0.147,0.238,0.125,101,11477
Leury Garcia,2021,CHW,474,0.086,0.205,0.108,98,5913
Yadier Molina,2021,STL,473,0.051,0.167,0.118,83,7007
Nick Ahmed,2021,ARI,473,0.072,0.220,0.118,64,12147
Kyle Schwarber,2021,- - -,471,0.136,0.270,0.288,145,16478
Andrew Vaughn,2021,CHW,469,0.087,0.215,0.161,94,26197
Franmil Reyes,2021,CLE,466,0.092,0.320,0.268,125,14566
Manuel Margot,2021,TBR,464,0.080,0.151,0.128,95,14712
Akil Baddoo,2021,DET,461,0.098,0.265,0.177,108,22168
Brett Gardner,2021,NYY,461,0.130,0.217,0.140,93,9927
Buster Posey,2021,SFG,454,0.123,0.192,0.195,140,9166
Tyler Naquin,2021,CIN,454,0.077,0.233,0.207,110,13359
Bobby Dalbec,2021,BOS,453,0.062,0.344,0.254,107,19966
Andrelton Simmons,2021,MIN,451,0.071,0.137,0.051,56,10847
Willi Castro,2021,DET,450,0.051,0.242,0.131,69,17338
Sean Murphy,2021,OAK,448,0.089,0.254,0.188,99,19352
Omar Narvaez,2021,MIL,445,0.092,0.189,0.136,99,13338
Christian Walker,2021,ARI,445,0.085,0.238,0.137,87,13419
Rhys Hoskins,2021,PHI,443,0.106,0.244,0.283,127,16472
Gio Urshela,2021,NYY,442,0.045,0.247,0.152,96,10681
Gary Sanchez,2021,NYY,440,0.118,0.275,0.219,99,11442
Anthony Santander,2021,BAL,438,0.053,0.231,0.192,92,14551
Wilmer Flores,2021,SFG,436,0.094,0.128,0.185,113,5827
Jackie Bradley Jr.,2021,MIL,428,0.065,0.308,0.098,35,12984
Jacob Stallings,2021,PIT,427,0.115,0.199,0.123,95,13723
Jeff McNeil,2021,NYM,426,0.068,0.136,0.109,91,15362
Martin Maldonado,2021,HOU,426,0.110,0.298,0.129,63,6887
A.J. Pollock,2021,LAD,422,0.071,0.190,0.240,137,9256
Pedro Severino,2021,BAL,419,0.081,0.260,0.135,87,14523
Alec Bohm,2021,PHI,417,0.074,0.266,0.095,75,21618
Brendan Rodgers,2021,COL,415,0.046,0.202,0.186,100,17907
Eddie Rosario,2021,- - -,412,0.063,0.148,0.177,98,12155
James McCann,2021,NYM,412,0.078,0.279,0.117,80,12859
Jurickson Profar,2021,SDP,412,0.119,0.158,0.093,85,10815
Corey Seager,2021,LAD,409,0.117,0.161,0.215,147,13624
Didi Gregorius,2021,PHI,408,0.061,0.164,0.160,68,6012
Maikel Franco,2021,BAL,403,0.050,0.166,0.146,62,12179
Tyler Stephenson,2021,CIN,402,0.102,0.187,0.146,111,17988
Paul DeJong,2021,STL,402,0.087,0.256,0.194,86,18015
Harrison Bader,2021,STL,401,0.067,0.212,0.193,110,18030
Alex Bregman,2021,HOU,400,0.110,0.133,0.152,115,17678
Ben Gamel,2021,- - -,400,0.128,0.263,0.141,101,12160
Tony Kemp,2021,OAK,397,0.131,0.128,0.139,127,14894
Ke'Bryan Hayes,2021,PIT,396,0.078,0.220,0.116,88,18577
Freddy Galvis,2021,- - -,394,0.069,0.195,0.166,90,6609
Kevin Kiermaier,2021,TBR,390,0.085,0.254,0.129,101,11038
Tucker Barnhart,2021,CIN,388,0.075,0.258,0.121,81,10200
Brandon Nimmo,2021,NYM,386,0.140,0.205,0.145,137,12927
Gregory Polanco,2021,PIT,382,0.094,0.272,0.146,71,12907
Brandon Belt,2021,SFG,381,0.126,0.270,0.323,158,10264
LaMonte Wade Jr.,2021,SFG,381,0.087,0.234,0.229,117,18126
Eric Haase,2021,DET,381,0.068,0.312,0.228,100,14111
Gavin Lux,2021,LAD,381,0.108,0.218,0.122,91,19955
Ramon Laureano,2021,OAK,378,0.071,0.259,0.196,111,17128
Luis Torrens,2021,SEA,378,0.074,0.262,0.188,101,15905
Brad Miller,2021,PHI,377,0.119,0.297,0.227,105,12775
Dylan Moore,2021,SEA,377,0.106,0.294,0.154,74,18042
Jarred Kelenic,2021,SEA,377,0.095,0.281,0.169,73,22558
Mike Zunino,2021,TBR,375,0.091,0.352,0.342,134,13265
Yasmani Grandal,2021,CHW,375,0.232,0.219,0.280,159,11368
Patrick Wisdom,2021,CHC,375,0.085,0.408,0.287,115,13602
Yan Gomes,2021,- - -,375,0.051,0.208,0.169,93,9627
Abraham Toro,2021,- - -,375,0.083,0.144,0.134,95,19844
Ketel Marte,2021,ARI,374,0.083,0.160,0.215,139,13613
Phil Gosselin,2021,LAA,373,0.064,0.217,0.101,87,10953
Elias Diaz,2021,COL,371,0.081,0.162,0.219,92,11680
Victor Robles,2021,WSN,369,0.089,0.230,0.092,67,18363
Corey Dickerson,2021,- - -,365,0.068,0.186,0.137,100,10762
Justin Upton,2021,LAA,362,0.108,0.296,0.198,92,5222
Rougned Odor,2021,NYY,361,0.075,0.277,0.177,83,12282
Harold Ramirez,2021,CLE,361,0.039,0.155,0.130,90,14387
Ronald Acuna Jr.,2021,ATL,360,0.136,0.236,0.313,157,18401
Carson Kelly,2021,ARI,359,0.123,0.206,0.171,103,13620
Colin Moran,2021,PIT,359,0.100,0.242,0.132,98,16909
Victor Caratini,2021,SDP,356,0.098,0.230,0.096,72,14968
Jason Heyward,2021,CHC,353,0.076,0.193,0.133,68,4940
Asdrubal Cabrera,2021,- - -,352,0.102,0.227,0.136,82,4962
Cody Bellinger,2021,LAD,350,0.089,0.269,0.137,48,15998
Alcides Escobar,2021,WSN,349,0.049,0.160,0.116,100,6310
Bradley Zimmer,2021,CLE,348,0.086,0.351,0.117,89,16221
Kevin Pillar,2021,NYM,347,0.032,0.233,0.185,90,12434
Guillermo Heredia,2021,ATL,347,0.092,0.233,0.134,79,18721
Starlin Castro,2021,WSN,346,0.075,0.179,0.092,90,4579
Donovan Solano,2021,SFG,344,0.073,0.169,0.124,105,8623
Ronald Torreyes,2021,PHI,344,0.055,0.119,0.104,68,11400
George Springer,2021,TOR,342,0.108,0.231,0.291,140,12856
Harold Castro,2021,DET,339,0.041,0.212,0.076,83,14691
Yonathan Daza,2021,COL,331,0.063,0.181,0.073,75,15794
