Name,Season,Team,PA,BB_rt,K_rt,ISO,wRC_plus,playerid
Ketel Marte,2018,ARI,580,0.093,0.136,0.177,104,13613
Kole Calhoun,2019,LAA,632,0.111,0.256,0.236,105,11200
Ryan McMahon,2019,COL,539,0.104,0.297,0.200,89,15112
Andrew Benintendi,2019,BOS,615,0.096,0.228,0.165,100,17901
Vladimir Guerrero Jr.,2019,TOR,514,0.089,0.177,0.162,105,19611
Mike Moustakas,2018,- - -,635,0.077,0.162,0.208,105,4892
Eddie Rosario,2019,MIN,590,0.037,0.146,0.224,104,12155
Teoscar Hernandez,2018,TOR,523,0.078,0.312,0.229,107,13066
Jason Heyward,2019,CHC,589,0.115,0.187,0.177,100,4940
Wilson Ramos,2019,NYM,524,0.084,0.132,0.129,106,1433
Marcell Ozuna,2018,STL,628,0.061,0.175,0.153,107,10324
Jean Segura,2018,SEA,632,0.051,0.109,0.111,109,5933
Derek Dietrich,2018,MIA,551,0.053,0.254,0.156,109,10542
Domingo Santana,2019,SEA,507,0.099,0.323,0.188,107,10348
Andrelton Simmons,2018,LAA,600,0.058,0.073,0.125,106,10847
Dexter Fowler,2019,STL,574,0.129,0.247,0.170,103,4062
Rougned Odor,2018,TEX,535,0.080,0.237,0.171,95,12282
Justin Bour,2018,- - -,501,0.146,0.248,0.177,107,9744
Ozzie Albies,2018,ATL,684,0.053,0.170,0.191,100,16556
Nomar Mazara,2018,TEX,536,0.075,0.216,0.178,95,14553
Yuli Gurriel,2018,HOU,573,0.040,0.110,0.138,107,19198
Matt Duffy,2018,TBR,560,0.084,0.166,0.072,107,13836
Renato Nunez,2019,BAL,599,0.073,0.239,0.216,99,14503
Yadier Molina,2018,STL,503,0.058,0.131,0.174,105,7007
DJ LeMahieu,2018,COL,581,0.064,0.141,0.152,87,9874
Evan Longoria,2019,SFG,508,0.085,0.220,0.183,100,9368
Paul DeJong,2019,STL,664,0.093,0.224,0.211,101,18015
Willson Contreras,2018,CHC,544,0.097,0.222,0.141,101,11609
Cesar Hernandez,2018,PHI,708,0.134,0.219,0.109,100,10556
Adam Frazier,2019,PIT,608,0.066,0.123,0.139,97,15223
Brandon Belt,2019,SFG,616,0.135,0.206,0.169,98,10264
Yonder Alonso,2018,CLE,574,0.089,0.214,0.171,98,2530
Jose Peraza,2018,CIN,683,0.042,0.110,0.128,96,13593
Joe Mauer,2018,MIN,543,0.094,0.158,0.097,100,1857
Alex Gordon,2019,KCR,633,0.081,0.158,0.129,95,5209
Miguel Cabrera,2019,DET,549,0.087,0.197,0.116,97,1744
Hanser Alberto,2019,BAL,550,0.029,0.091,0.116,95,11902
Amed Rosario,2019,NYM,655,0.047,0.189,0.144,101,15518
David Fletcher,2019,LAA,653,0.084,0.098,0.094,96,17992
Marwin Gonzalez,2018,HOU,552,0.096,0.228,0.162,104,5497
Dansby Swanson,2019,ATL,545,0.094,0.228,0.172,91,18314
Victor Robles,2019,WSN,617,0.057,0.227,0.165,92,18363
Max Kepler,2018,MIN,611,0.116,0.157,0.184,98,12144
Starlin Castro,2018,MIA,647,0.074,0.192,0.121,101,4579
Adam Jones,2018,BAL,613,0.039,0.152,0.138,98,6368
Cesar Hernandez,2019,PHI,667,0.067,0.150,0.129,91,10556
Colin Moran,2019,PIT,503,0.060,0.233,0.152,93,16909
Jean Segura,2019,PHI,618,0.049,0.118,0.141,91,5933
Ian Desmond,2018,COL,619,0.086,0.236,0.186,82,6885
Odubel Herrera,2018,PHI,597,0.064,0.204,0.165,96,11476
Nick Ahmed,2019,ARI,625,0.083,0.181,0.183,90,12147
Jackie Bradley Jr.,2019,BOS,567,0.099,0.273,0.196,89,12984
Willy Adames,2019,TBR,584,0.079,0.262,0.164,99,15986
Jonathan Villar,2018,- - -,515,0.080,0.268,0.124,95,10071
Yoan Moncada,2018,CHW,650,0.103,0.334,0.164,97,17232
Jeimer Candelario,2018,DET,619,0.107,0.258,0.169,93,13621
Jackie Bradley Jr.,2018,BOS,535,0.086,0.256,0.169,90,12984
Eric Hosmer,2018,SDP,677,0.092,0.210,0.145,95,3516
Eric Hosmer,2019,SDP,667,0.060,0.244,0.160,92,3516
Ender Inciarte,2018,ATL,660,0.074,0.130,0.116,90,4922
Jason Kipnis,2018,CLE,601,0.100,0.186,0.158,91,9776
Albert Pujols,2019,LAA,545,0.079,0.125,0.185,90,1177
Adam Jones,2019,ARI,528,0.059,0.191,0.155,86,6368
Trey Mancini,2018,BAL,636,0.069,0.241,0.174,93,15149
Josh Reddick,2019,HOU,550,0.065,0.120,0.134,92,3892
Marcus Semien,2018,OAK,703,0.087,0.186,0.133,97,12533
Freddy Galvis,2019,- - -,589,0.048,0.246,0.178,89,6609
Tucker Barnhart,2018,CIN,522,0.103,0.184,0.124,88,10200
Randal Grichuk,2019,TOR,628,0.056,0.260,0.225,90,10243
Starlin Castro,2019,MIA,676,0.041,0.164,0.165,91,4579
Jose Iglesias,2019,CIN,530,0.038,0.132,0.119,82,10231
Brandon Crawford,2018,SFG,594,0.084,0.205,0.139,93,5343
Miguel Rojas,2019,MIA,526,0.061,0.118,0.095,90,7802
Brett Gardner,2018,NYY,609,0.107,0.176,0.132,91,9927
Alex Gordon,2018,KCR,568,0.088,0.218,0.125,89,5209
Salvador Perez,2018,KCR,544,0.031,0.199,0.204,88,7304
Brian Dozier,2018,- - -,632,0.111,0.204,0.175,90,9810
Lorenzo Cain,2019,MIL,623,0.080,0.170,0.112,83,9077
Kevin Pillar,2018,TOR,542,0.033,0.181,0.174,89,12434
Rougned Odor,2019,TEX,581,0.090,0.306,0.234,77,12282
Jurickson Profar,2019,OAK,518,0.093,0.145,0.192,90,10815
Jason Kipnis,2019,CLE,511,0.078,0.172,0.166,86,9776
Jon Jay,2018,- - -,586,0.056,0.162,0.080,86,5227
Elvis Andrus,2019,TEX,648,0.052,0.148,0.118,76,8709
Nick Ahmed,2018,ARI,564,0.071,0.193,0.176,84,12147
Ian Kinsler,2018,- - -,534,0.075,0.120,0.140,86,6195
Kevin Pillar,2019,- - -,645,0.028,0.138,0.173,84,12434
Yolmer Sanchez,2018,CHW,662,0.074,0.208,0.130,87,11602
Ryon Healy,2018,SEA,524,0.052,0.216,0.176,89,15447
Evan Longoria,2018,SFG,512,0.043,0.197,0.169,86,9368
Leury Garcia,2019,CHW,618,0.034,0.225,0.099,82,5913
